"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","30302","should verify ""We couldn’t find any repositories"" message, after entering invalid keyword","","Tue May 13 11:07:08 GMT 2025","broken","Tue May 13 11:07:39 GMT 2025","GitHub - Search Result","tests/github-search.test.ts","",""
"","30309","should verify search result with valid repository name","","Tue May 13 11:06:38 GMT 2025","broken","Tue May 13 11:07:08 GMT 2025","GitHub - Search Result","tests/github-search.test.ts","",""
